Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2218,Debt Inquiry Development,"The Debt Inquiry service offers the ability to inquire the Federal Offset data through the use of the FPLS Enterprise Services Portal (ESP). This service is available to employers, insurance carriers, OCSE administrators and States. The project provides a method for employers and insurance carriers to notify state child support agencies when they plan to pay lump sum payments, insurance payouts or bonuses to individuals that owe past due child support.",13/12/2010,18/07/2011,18/07/2011,23/06/2011,0.343,25,11.52,0.001,0.29,0.343,0.342,26/04/2012,10:50:52,289363
009-000001462,186,9,Department of Health and Human Services,ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence,2021,Mandatory Capabilities,Implement the handling of non-discretionary entitlement grant processing Implement the handling of non-discretionary formula allocation.,01/10/2011,30/09/2013,,,2.538,0,0,0.025,1,2.505,2.48,23/07/2012,09:40:58,289812
009-000001386,257,9,Department of Health and Human Services,CDC OID NCIRD Vaccine Tracking System (VTrckS),2012,VTrckS - Release 2,Improve the user experience by reducing the number of order screens and clicks; provide a more robust reporting capability; and strengthen internal controls.,13/06/2011,31/03/2012,31/03/2012,31/03/2012,6.05,0,0,0.136,2.25,6.05,5.914,28/06/2012,07:58:56,284252
009-000001386,257,9,Department of Health and Human Services,CDC OID NCIRD Vaccine Tracking System (VTrckS),2013,VTrckS - Functional Deployments,Rollout of the Spend Plan functionality as well as the vaccine ordering/management  functionality to the non-pilot grantees.,01/03/2012,30/06/2013,,,9.199,0,0,2.362,25.68,9.199,6.837,23/07/2012,09:40:56,285181
009-000001384,260,9,Department of Health and Human Services,CDC National Select Agent Registry (NSAR),2010,NSAR - Release 6.0,"National Select Agent Registry (NSAR) Modernization 6.0 Project will improve the stability, availability, and reliability of the current NSAR system and encompasses the following components: Technology Hardware Refresh Migrate Existing Software to Current Version Relocate Infrastructure to New Location Enable External Portal - Public Law 107-188 Smart Card Reader Accessibility - HHS Smart Card Initiative Relocate Disaster Recovery Site to New Location.",01/04/2011,17/08/2012,,,3.905,-14,-2.78,-0.616,-15.77,3.905,4.521,23/07/2012,09:40:55,283432
009-000001384,260,9,Department of Health and Human Services,CDC National Select Agent Registry (NSAR),2011,eNSAR,"Deploy initial eNSAR functionality; implementation of an Active/Active Disaster Recovery site, replacement of a shared network drive with MOSS SharePoint, deployment of a portal, and completion of security enhancements. NSAR will leverage existing hardware and software for the new eNSAR releases wherever possible, necessitating that some infrastructure be refreshed at this point in time.",01/02/2013,04/11/2013,,,4.237,0,0,0,0,4.237,4.237,26/04/2012,10:50:50,284865
009-000001372,261,9,Department of Health and Human Services,CDC PHIN: BioSense,2004,BioSense - Redesign,"The purpose of the BioSense Redesign project is to establish a new technical and programmatic environment for the BioSense Program. Activities include collection of new information on end-user requirements and comparison with other existing syndromic surveillance systems that could be adapted to produce standardized system requirements and program design concepts for revisions to the BioSense Program. This will include gathering end-user requirements through formal and informal communication, utilizing unstructured data to gather information on other syndromic surveillance systems and system needs, developing an Operational Plan, and reviewing/revising the existing Strategic Plan to reflect changes in the BioSense Program. It will also require establishing a TEP, which will provide input and advice on the development of the new BioSense Program. It will further require producing standardized system requirements for program design concepts and prototypes, which can be developed using open-source/open-access tools. Program design concepts and prototypes will be reviewed and evaluated internally and by an external group of end users. The final selected program design concept/ prototype will include specification, security requirements, proposed program development, testing and evaluation, and documentation. Management support will include the following:- updating the existing BioSense Strategic Plan;- assessing the risks inherent in this plan (already commenced, but assessment of the risks will be ongoing throughout the project);- producing and actively maintaining a Risk Mitigation Plan for the BioSense Program;- providing project support and administration.",07/06/2010,30/06/2013,,,13.206,0,0,-0.473,-3.58,13.204,13.677,23/07/2012,09:40:55,283123
009-000001378,262,9,Department of Health and Human Services,CDC PHIN: National Electronic Disease Surveillance System,2005,NEDSS - Core National Notifiable Diseases Data Provisioning to CDC Programs,"Standardization, receipt and processing of core notifiable disease data received from reporting jurisdictions and providing access to those data to CDC Program subject matter experts .   responsible for prevention and control activities.  Involves CDS, DMB, Messaging and Vocabulary.",21/12/2010,09/11/2013,09/11/2013,09/11/2013,2.4,0,0,-0.355,-14.79,2.4,2.755,26/07/2012,10:07:44,282142
009-000001378,262,9,Department of Health and Human Services,CDC PHIN: National Electronic Disease Surveillance System,2006,NEDSS - Base System Development,"Updgrades and enhances the systems capability to process electronic laboratory and case reporting and case management.  Provide page builder functionality to support STD surveillance, including case management and notification.",21/12/2010,30/09/2013,20/09/2012,20/08/2012,2.477,20,4.98,0.172,10.85,1.585,1.413,26/07/2012,10:07:44,282483
009-000163785,263,9,Department of Health and Human Services,CMS 5010 Conversion Initiative,2046,5010 Coversion Project Implement Systems Updates,"The 5010 Conversion Project includes replacing existing inbound and outbound HIPAA transaction formats with new HIPAA standards formats and data elements, conforming to updated standards versions NCPDP D.0 and ASC X12N 5010.  The project addresses inbound and outbound claims, remittances, eligibility and status inquiries and responses processed by MAC Front End Systems. The project also includes the expansion of diagnosis codes from 5 to 7 positions in preparation for ICD-10, and is considered the pre-requisite project for ICD-10.  This expansion affects all Medicare FFS applications and data repositories where diagnosis codes are part of processing.",01/01/2010,30/09/2012,,,17.594,0,0,-0.148,-0.84,17.594,17.742,23/07/2012,09:41:13,297424
009-000006796,273,9,Department of Health and Human Services,CMS Encounter Data,2045,Encounter Data Development,"Payments to Medicare Advantage (MA) plans are risk adjusted.  MA plans are paid approximately $13 billion per month for the more than 11 million Medicare beneficiaries enrolled in MA plans.  Improvements in the accuracy of these payments will have a significant impact on the program. The current risk adjustment model is estimated using Fee-For-Service (FFS) cost and diagnoses data. The Centers for Medicare and Medicaid Services (CMS) has shown that patterns in FFS and MA diagnostic data differ in important ways and lead to overpayments to MA plans. Adding health care encounter data to the existing risk adjustment system will improve the accuracy of the risk adjustment model used to pay MA plans by reflecting the appropriate patterns of utilization and costs within the MA program. While establishing a risk adjustment model more appropriate for MA plans is the paramount reason for collecting MA encounter data, there are other important uses of the data that will improve other key functions undertaken by CMS, including: calculation of Medicare Disproportionate Share Hospital (DSH) payments, quality review and improvement activities, and Medicare coverage purposes. Thus, there is a need to properly collect, edits, and store the MA health care data necessary to describe and price a health care encounter; this is in addition to the currently collected, edited and stored diagnosis data.  There is also a need to develop the capability to price the MA health care encounter data to be able to estimate the cost of a Medicare beneficiary enrolled in an MA plan. The EDS project will assist CMS in achieving its agency-wide goal of reaching accurate and predictable payments.  Specifically, those paid through the Medicare Advantage Prescription Drug System (MARx). The three main objectives to obtain with the implementation of the EDS project are: Collection and pricing of more than 330 million claims annually supporting 11 million beneficiaries enrolled in the MA program, Obtain reports that reflect true MA beneficiary utilization by 2013, and Providing appropriate data leading to more accurate Risk Adjustment model development by 2015.",01/01/2009,01/01/2015,,,45.43,0,0,-0.678,-1.49,45.43,46.108,23/07/2012,09:41:12,285833
009-000001465,274,9,Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2022,QIES CLIA Online Accounting,CLIA Online accounting activities.,27/07/2011,31/12/2011,31/12/2011,18/12/2011,1,13,8.28,0.02,2,1,0.98,26/04/2012,10:50:53,286250
009-000001465,274,9,Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2023,QIES ASSURE,Centralize and integrate the existing ASSURE system which provides data capture and reporting of accredited or deemed providers managed by Accrediting Organizations into QIES.,16/08/2011,31/01/2013,,,0.65,0,0,-0.095,-14.62,0.65,0.745,26/07/2012,10:08:04,286461
009-000001465,274,9,Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2024,QIES CLIA Batch Billing,"Conversion of the CLIA batch jobs. Convert jobs that create, send bills, and bubble certificate information.",01/10/2011,30/12/2012,,,2.5,0,0,0.886,35.44,2.5,1.614,26/07/2012,10:08:04,288991
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2025,HIGLAS Administrative Program Accounting,"The Administrative Program Accounting (APA) effort is the analysis, development and implementation efforts needed to replace CMS' current accounting system of record, FACS with HIGLAS.    This includes analysis and development for all interfaces, processes, systems and other business functionality related to Funds Management, Commitments/Obligations Management, Payment Management, Receivables Management, Grants Management, General Ledger Management, Reports Management and Other Systems/Interfaces.",01/02/2011,31/03/2012,31/03/2012,31/05/2012,16.983,-153,-36.08,-0.45,-2.65,16.983,17.433,23/07/2012,09:40:59,283161
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2026,HIGLAS Project Management Support,"The purpose of this task is the work effort needed to support the project management activities of the HIGLAS program in the areas of planning, design, development, implementation, ongoing maintenance, and operational support.  This effort is performed by the HIGLAS Prime Contractor in support of  the HIGLAS solution.  The HIGLAS Prime Contractor is required to maintain several project management plans including the Program Management Strategy, Integrated Master Schedule, Quality Management Plan, Risk Management Plan and Issue Management Plan, as well as a monthly Cost Performance Report.",01/04/2011,31/03/2012,31/03/2012,31/03/2012,6,0,0,0,0,6,6,26/04/2012,10:50:54,283162
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2027,HIGLAS MAC Transitions,The HIGLAS transition effort includes work to be performed by the HIGLAS Prime Contractor in support of transitioning Medicare Contractors onto HIGLAS.  The work is comprised of three pieces: 1) Workload Split Transitions in support of the movement of existing HIGLAS workloads to new contractors named Medicare Administrative Contractors (MACs) - the result of a Workload Split may require the creation of a new HIGLAS organization to house the workload (Split) or the transfer of the workload to an existing HIGLAS organization (Merge;) 2) Renames of existing organizations; and 3) MAC or Title XVIII HIGLAS Transitions to support the phases of a transition to bring new work onto the HIGLAS System.,25/06/2011,22/06/2012,22/06/2012,22/06/2012,7.335,-70,-19.28,0.408,5.56,7.335,6.927,23/07/2012,09:40:59,283163
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2028,HIGLAS Project Management Support 2,"The purpose of this task is the work effort needed to support the project management activities of the HIGLAS program in the areas of planning, design, development, implementation, ongoing maintenance, and operational support.  This effort is performed by the HIGLAS Prime Contractor in support of  the HIGLAS solution.  The HIGLAS Prime Contractor is required to maintain several project management plans including the Program Management Strategy, Integrated Master Schedule, Quality Management Plan, Risk Management Plan and Issue Management Plan, as well as a monthly Cost Performance Report.",01/04/2012,28/02/2013,,,4,0,0,0,0,4,4,23/07/2012,09:40:59,285838
009-000201062,276,9,Department of Health and Human Services,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,2181,ESRD CrownWeb,"This project includes the development work associated with the Consolidated Renal Operations in a Web-Enabled Environment (CROWN) which is an application group that consists of 3 modules or systems: the Vital Information System to Improve Outcomes in Nephrology (VISION) that supports electronic data entry and encrypted transmission of ESRD patient and facility data from dialysis facilities, directly to their networks; the ESRD Standard Information Management System (SIMS) that supports the business processes of the ESRD Network Organizations and provides communication and data exchange links; and, the Renal Management Information System (REMIS) that determines the Medicare coverage periods for ESRD patients and serves as the primary mechanism to store and access ESRD patient and facility information.",01/04/2012,31/03/2013,,,8.76,0,0,-0.35,-4.01,8.73,9.08,23/07/2012,09:41:13,285524
009-000201062,276,9,Department of Health and Human Services,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,2182,ESRD QIP-DECC,"ESRD QIP payment year 2014 system - This project includes designing and developing a measures engine to perform analysis and calculate all CMS-developed measures, with an emphasis on Clinical Performance Measures (CPM) and other types of measures used by the ESRD QIP System.  The system will be able to aggregate data at both the facility and network levels.   The measures engine will be designed to be robust, flexible, and modular in nature to easily accommodate changes each payment year, without requiring extensive resources to re-architect or re-designing the system.  In the PY2014 ESRD QIP system, the measures engine will use data in the ESRD Data Warehouse to calculate both national-level and facility-specific measures which will be determined in the future.",07/05/2012,07/05/2013,,,20.164,0,0,-0.299,-1.48,20.164,20.463,23/07/2012,09:41:13,286118
009-000004417,277,9,Department of Health and Human Services,CMS ICD-10 Initiative,2147,ICD-10 Implement System Updates,"This project includes developing a conversion/implementation strategy, designing the plan of action, implementing the plan, developing a testing strategy, and performing the testing to upgrade FFS systems, Medicare Quality Improvement Systems, and Medicare Advantage and Part D systems to accept ICD-10 codes.",01/09/2011,28/02/2013,,,42.053,0,0,12.992,30.89,42.053,29.061,23/07/2012,09:41:04,294801
009-000001472,279,9,Department of Health and Human Services,CMS Integrated Data Repository (IDR),2128,IDR Support Services,"The IDR will load and provides services for Provider, Reference and Part C data.",02/11/2011,30/09/2013,,,7.558,0,0,-3.945,-52.21,7.556,11.501,23/07/2012,09:41:00,295564
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2029,PECOS FY 2012 3rd Quarter Release,"This project will provide a digital documentation feature and an interim provider single entry point or portal. Currently all supporting documentation and certifications must be mailed which creates a bottleneck in the enrollment process.Digital documentation will allow providers to attach digitized supporting documentation to their enrollment applications. The single entry point will facilitate access to the appropriate applications which will improve the enumeration, enrollment and registration activities.",17/01/2012,30/07/2012,30/07/2012,30/07/2012,2.41,-32,-16.41,-0.064,-2.66,2.41,2.474,23/07/2012,09:41:05,291511
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2030,PECOS FY 2012 1st Quarter Release,This project will provide e-signature and automated screening capabilities. Currently all new enrollments and updates require a physical signature. This creates a significant extra step in the enrollment process. The e-signature will allow the providers to complete the enrollment process online .An automated screening tool is being developed that will generate a comprehensive report and a risk score for each provider. This information will be fed into PECOS.,18/07/2011,30/01/2012,30/01/2012,13/02/2012,2.641,-14,-7.14,0.341,12.91,2.641,2.3,26/04/2012,10:50:57,291512
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2031,PECOS FY 2012 2nd Quarter Release,"This project will provide the capabilities for provider bulk upload, enhanced identification and authorization and streamlined information sharing. The provider bulk upload will allow providers to upload multiple enrollment applications via a single standardized file. The  identification and authorization function will be enhanced to allow providers to grant access to their enrollment records to delegated third parties. The query function will be enhanced to provide more user friendly access to PECOS data.",17/10/2011,30/04/2012,30/04/2012,30/04/2012,2.678,0,0,0.251,9.37,2.678,2.427,28/06/2012,07:59:09,291516
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2032,PECOS FY 2012 4th Quarter Release,This project will provide a mass modification capability and will also provide an analysis of provider systems to enable the agency to migrate to an operational book of records. The mass modification feature will allow providers to select multiple enrollments and perform predefined actions on all of the selected enrollments. The operational book of records will allow provider data to be in one location making it accessible where needed.,16/04/2012,29/10/2012,,,2.369,0,0,-1.311,-55.34,2.369,3.68,23/07/2012,09:41:05,291568
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2033,PECOS FY 2011 4th Quarter Release,This project will implement the Pay.Gov function.,18/04/2011,07/10/2011,07/10/2011,03/10/2011,2.412,4,2.33,0.024,1,2.412,2.388,26/04/2012,10:50:57,294946
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2034,PECOS FY 2013 1st Quarter Release,This project will support the implementation of any approved improvements and enhancements for PECOS.,06/08/2012,07/01/2013,,,2.891,0,0,0,0,2.891,2.891,26/04/2012,10:50:57,294947
009-000000714,284,9,Department of Health and Human Services,CMS Medicaid Data Systems,1997,MSIS Redesign,"     In addition to being in compliance with legislative mandates, the MSIS redesign will also provide more accurate, current, and comprehensive data on standardized enrollment, eligibility, and paid claims of Medicare/Medicaid beneficiaries. This data will be used for the administration of Medicaid at the Federal level, to produce statistical reports, support Medicaid related research, and assist in the detection of fraud and abuse in the Medicare and Medicaid programs. This redesign will also close the gap in support of the mission delivery and management support by making extensive changes to the existing MSIS. To satisfy the new requirements, the MSIS will collect and report on 300-500 additional data elements on a projected monthly collection/reporting process. This will require technical assistance for the states to 1) identify state source systems for new data elements, 2) collaborate with the State CHIP Agency for reporting data to MSIS, 3) ensure that Managed Care plans are sending necessary claims data to states, and 4) ensure and map managed care claims into MSIS. Automation tools will be introduced to extract, transform and load (ETL) data and for the Data Quality/Accuracy process and to enhance analytics for MSIS Front-End data collection.  The redesign also includes plans to link the MSIS to other Medicaid programs, and to develop interoperability between MSIS (redesigned) and other State Health Exchanges.",16/03/2010,31/12/2014,,,12.144,0,0,-2.722,-22.41,12.144,14.866,26/04/2012,10:50:48,295146
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2131,MAS 508 Conformance Phase 1,"When MAS was designed and implemented in May 2005, documentation from the COTS venders, Siebel, Cognos and Kofax, were used to satisfy the requirements for Section 508 Compliancy. Since then, CMS has improved its 508 Compliancy Policy and has issued directives to all CMS systems to make sure that they are fully 508 Compliant. This project is the first phase of a multi-year effort across multiple releases to bring MAS into compliance with the Section 508 Compliancy rules and regulations. The objects of the initial phase are: *          Complete the stand up of the MAS application in the Siebel Standard Interactive (SI) Mode including regression testing and making the needed changes so that existing functionality is operational in both SI and HI modes.*          Begin performing the configuration needed to implement Siebel's accessibility features, focusing primarily on the Appeals screen and associated views.*          Implement the Imaging data model updates (designed in Phase 1) to support section 508 compliance.*          Continue implementing Siebel screens to replace some of the functionality in the Imaging custom application.",01/09/2010,31/08/2011,31/08/2011,31/08/2011,0.491,0,0,0,0,0.491,0.491,22/05/2012,08:10:10,294949
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2132,MAS Level 3 Task Based User Interface Phase 1,"The Task Based User Interface (TBUI) project is being funded by the Office of Medicare Hearings and Appeals (OMHA). It is a multi-year effort across multiple releases designed to improve the mechanism for which the Level 3 (ALJ) Appeals users will conduct their day to day work activities. The TBUI will be designed with the goal to improve task/workflow processing. The ultimate goal of TBUI is to make MAS easier to use and improve the functionality for the Level 3 OMHA users. .The MAS TBUI project is split into two separately funded phases, Phase I and Phase II. The work tasks that shall be completed by the contractor for this Project of TBUI Phase 1 are: *          Conduct requirements gathering sessions with all personnel identified by OMHA to be part of the design process.  This must include representatives from both headquarters as well as all remote locations.*          Examine any existing Business Process Models for work flow details to be checked for validity during the requirements gathering process.*          Conduct a series of feedback gathering sessions that afford OMHA staff the ability to review and comment on the requirements sessions results.*          Compile and publish a final Systems Requirements document according to CMS OIS ILC conventions that is of sufficient detail to allow Phase II to start the design and build processes.",27/09/2010,31/01/2012,31/01/2012,30/09/2011,0.194,123,25.1,0.002,1.04,0.193,0.191,26/04/2012,10:51:12,295181
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2133,MAS 508 Conformance Phase 2,"When MAS was designed and implemented in May 2005, documentation from the COTS venders, Siebel, Cognos and Kofax, were used to satisfy the requirements for Section 508 Compliancy. Since then, CMS has improved its 508 Compliancy Policy and has issued directives to all CMS systems to make sure that they are fully 508 Compliant. This project is the second phase of a multi-year effort across multiple releases to bring MAS into compliance with the Section 508 Compliancy rules and regulations. The objects of the second phase are: *         Complete the configuration needed to implement Siebel's accessibility features and section 508 testing, deploy SI mode into production, and provide the Product Accessibility Template (PAT) for the Siebel portion of MAS.*         Complete implementation of the Imaging interfaces moving from the custom external web application to Siebel screens.  The interfaces to view and import MAS images will remain part of a custom external application that integrates with Siebel. MAS customizations to the IBM Content Manager viewer do not impact 508 compliance and will utilize the IBM Content Manager PAT.",15/06/2011,14/06/2012,,,0.662,-78,-23.01,0.096,14.5,0.662,0.566,22/05/2012,08:10:10,295185
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2134,MAS Level 3 Task Based User Interface Phase 2,"The Task Based User Interface (TBUI) project is being funded by the Office of Medicare Hearings and Appeals (OMHA). It is a multi-year effort across multiple releases designed to improve the mechanism for which the Level 3 (ALJ) Appeals users will conduct their day to day work activities. The TBUI will be designed with the goal to improve task/workflow processing. The ultimate goal of TBUI is to make MAS easier to use and improve the functionality for the Level 3 OMHA users. .The MAS TBUI project is split into two separately funded phases, Phase I and Phase II. The work tasks that shall be completed by the contractor for this Project TBUI Phase 2 are: *          Complete a detailed design document for the TBUI project;*          Upon obtaining approval of the detailed design document, the contractor shall successfully carry out the development of the project elements as designated in the priority setting sessions at the end of system requirements; *          Validate, Test and Install the TBUI project additions and changes for/to the MAS system;*          Provide training materials and training for OMHA staff in use of the MAS system changes and additions; and, *          Place the TBUI project changes and additions into production.",28/09/2011,27/09/2012,,,1.365,0,0,-0.204,-18.65,1.094,1.298,23/07/2012,09:41:01,295186
